#,Directive number,Title,Date,Page on gov.il,File name in zip,File title,File URL,Note
59,EX-022/02,תכשירי תרפיות מתקדמות – דגשים והבהרות רגולטוריות,2020-10-31T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-022-01,files_circulars_iscp-ex_EX-022-01.pdf,תכשירי תרפיות מתקדמות – דגשים והבהרות רגולטוריות,https://www.gov.il/BlobFolder/policy/ex-022-01/he/files_circulars_iscp-ex_EX-022-01.pdf,
59,EX-022/02,תכשירי תרפיות מתקדמות – דגשים והבהרות רגולטוריות,2020-10-31T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-022-01,files_circulars_iscp-ex_EX-022-RIA.pdf,דוח השפעת רגולציה (RIA),https://www.gov.il/BlobFolder/policy/ex-022-01/he/files_circulars_iscp-ex_EX-022-RIA.pdf,
60,169,נוהל שימוש באמצעים דיגיטליים בתהליך קבלת הסכמה מדעת,2020-10-19T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-169,files_circulars_dr_DR_169.pdf,נוהל שימוש באמצעים דיגיטליים בתהליך קבלת הסכמה מדעת,https://www.gov.il/BlobFolder/policy/dr-169/he/files_circulars_dr_DR_169.pdf,
61,104a,"טבלת אקסל לדיווח הנתונים - נספח 3 מתוך נוהל 104, עדכון 3",2020-10-01T21:00:00Z,https://www.health.gov.il/hozer/dr_104a.xlsx,files_circulars_dr_dr_104a.xlsx,"טבלת אקסל לדיווח הנתונים - נספח 3 מתוך נוהל 104, עדכון 3",https://www.gov.il/BlobFolder/policy/dr-104/he/files_circulars_dr_dr_104a.xlsx,source: direct (legacy health.gov.il link mapped to the gov.il copy)
62,ISCP-363797520,איסור הכנות רוקחיות לתכשיר מסחרי רשום ומשווק,2020-09-08T21:00:00Z,https://www.gov.il/he/Departments/policies/iscp-363797520,files_circulars_iscp-ex_ISCP-363797520.pdf,איסור הכנות רוקחיות לתכשיר מסחרי רשום ומשווק,https://www.gov.il/BlobFolder/policy/iscp-363797520/he/files_circulars_iscp-ex_ISCP-363797520.pdf,
63,reg-299486120,פעולות ייצור לציון בתעודת רישום ותעודת איכות,2020-07-18T21:00:00Z,https://www.gov.il/he/Departments/policies/reg-299486120,files_circulars_reg_reg-299486120.pdf,פעולות ייצור לציון בתעודת רישום ותעודת איכות,https://www.gov.il/BlobFolder/policy/reg-299486120/he/files_circulars_reg_reg-299486120.pdf,
64,ISCP-273101320,איסור הכנות רוקחיות לתכשיר מסחרי משווק,2020-06-21T21:00:00Z,https://www.gov.il/he/Departments/policies/iscp-273101320,files_circulars_iscp-ex_ISCP-273101320.pdf,איסור הכנות רוקחיות לתכשיר מסחרי משווק Screen reader support enabled.,https://www.gov.il/BlobFolder/policy/iscp-273101320/he/files_circulars_iscp-ex_ISCP-273101320.pdf,
65,reg-215085620,ביטול חלוקה למסלולי ייצור ברישום של תכשירים המכילים מולקולות כימיות,2020-05-06T21:00:00Z,https://www.gov.il/he/Departments/policies/reg-215085620,files_circulars_reg_reg-215085620.pdf,ביטול חלוקה למסלולי ייצור ברישום של תכשירים המכילים מולקולות כימיות,https://www.gov.il/BlobFolder/policy/reg-215085620/he/files_circulars_reg_reg-215085620.pdf,
66,reg_178442720,עדכון נוסח משפט הנוגע לתאריך אישור/עדכון העלון,2020-04-15T21:00:00Z,https://www.gov.il/he/Departments/policies/reg-178442720,files_circulars_reg_reg_178442720.pdf,עדכון נוסח משפט הנוגע לתאריך אישור/עדכון העלון,https://www.gov.il/BlobFolder/policy/reg-178442720/he/files_circulars_reg_reg_178442720.pdf,
67,reg_154645020,סיווג מוצרים לחיטוי העור וחיטוי משטחים,2020-03-14T22:00:00Z,https://www.gov.il/he/Departments/policies/reg-154645020,files_circulars_reg_reg_154645020.pdf,סיווג מוצרים לחיטוי העור וחיטוי משטחים,https://www.gov.il/BlobFolder/policy/reg-154645020/he/files_circulars_reg_reg_154645020.pdf,
68,reg_155264520,הנחיות לחברות התרופות לאור היערכות להתפשטות נגיף הקורונה בישראל,2020-03-14T22:00:00Z,https://www.gov.il/he/Departments/policies/reg-155264520,files_circulars_reg_reg_155264520.pdf,הנחיות לחברות התרופות לאור היערכות להתפשטות נגיף הקורונה בישראל,https://www.gov.il/BlobFolder/policy/reg-155264520/he/files_circulars_reg_reg_155264520.pdf,
69,,"תכשירים לחיטוי הרשמים בישראל, פברואר 2020",2020-02-19T22:00:00Z,https://www.gov.il/he/Departments/policies/sanitizers-list,files_circulars_Sanitizers-list.pdf,"תכשירים לחיטוי הרשמים בישראל, פברואר 2020",https://www.gov.il/BlobFolder/policy/sanitizers-list/he/files_circulars_Sanitizers-list.pdf,
70,dr-195,"מסמכים, ספרות מקצועית ותיעוד הנדרשים בבתי מרקחת וחדרי תרופות",2020-01-31T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-195,files_regulation_drugs_dr_195.pdf,"מסמכים, ספרות מקצועית ותיעוד הנדרשים בבתי מרקחת וחדרי תרופות",https://www.gov.il/BlobFolder/policy/dr-195/he/files_regulation_drugs_dr_195.pdf,
71,ISCP_19012020,מעקב ובקרה לעמידה בדרישות GMP API,2020-01-20T22:00:00Z,https://www.gov.il/he/Departments/policies/iscp-19012020,files_circulars_iscp-ex_ISCP_19012020.pdf,מעקב ובקרה לעמידה בדרישות GMP API,https://www.gov.il/BlobFolder/policy/iscp-19012020/he/files_circulars_iscp-ex_ISCP_19012020.pdf,
72,101015320,איסור תגמול לרוקח עבור מכירות בבית המרקחת,2020-01-07T22:00:00Z,https://www.gov.il/he/Departments/policies/ban-on-pharmacist-sales-commission-at-pharmacies,files_circulars_sbn_ban-on-pharmacist-sales-commission-at-pharmacies.pdf,איסור תגמול לרוקח עבור מכירות בבית המרקחת,https://www.gov.il/BlobFolder/policy/ban-on-pharmacist-sales-commission-at-pharmacies/he/files_circulars_sbn_ban-on-pharmacist-sales-commission-at-pharmacies.pdf,
73,168,"נוהל הוועדה הארצית לניסויים קליניים רב מרכזיים, פיילוט למחקרים המסווגים כניסויים ""לא מיוחדים""",2020-01-04T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-168,files_circulars_dr_DR_168.pdf,נוהל הוועדה הארצית לניסויים קליניים רב מרכזיים,https://www.gov.il/BlobFolder/policy/dr-168/he/files_circulars_dr_DR_168.pdf,
74,reg-587734819,מסלול הודעה (נוטיפיקציה) לעדכון עלונים של תכשירים הומניים ווטרינריים - עדכון דצמבר 2019,2019-12-15T22:00:00Z,https://www.gov.il/he/Departments/policies/reg-587734819,files_circulars_reg_reg-587734819.pdf,מסלול הודעה (נוטיפיקציה) לעדכון עלונים של תכשירים הומניים ווטרינריים - עדכון דצמבר 2019,https://www.gov.il/BlobFolder/policy/reg-587734819/he/files_circulars_reg_reg-587734819.pdf,
75,130/02,תנאי הפצה נאותים לתכשירים,2019-10-30T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-130,files_circulars_iscp-ex_EX-130.pdf,תנאי הפצה נאותים לתכשירים,https://www.gov.il/BlobFolder/policy/ex-130/he/files_circulars_iscp-ex_EX-130.pdf,
76,DR_557925419,הענקת טובות הנאה לעיתונאים ואנשי תקשורת,2019-10-27T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-557925419,files_circulars_dr_DR_557925419.pdf,הענקת טובות הנאה לעיתונאים ואנשי תקשורת,https://www.gov.il/BlobFolder/policy/dr-557925419/he/files_circulars_dr_DR_557925419.pdf,
77,167/01,תנאי הפצה נאותים לחומרי גלם פעילים המיועדים לשמש לתכשירים הומאניים,2019-10-27T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-167,files_circulars_iscp-ex_EX-167.pdf,תנאי הפצה נאותים לחומרי גלם פעילים  המיועדים  לשמש לתכשירים הומאניים,https://www.gov.il/BlobFolder/policy/ex-167/he/files_circulars_iscp-ex_EX-167.pdf,
78,PUB-118/01,הודעה על שינוי אריזה ותיווי של תכשיר רשום,2019-08-31T21:00:00Z,https://www.gov.il/he/Departments/policies/pub-118-01,files_circulars_dr_pub-118-01.pdf,הודעה על שינוי אריזה ותיווי של תכשיר רשום,https://www.gov.il/BlobFolder/policy/pub-118-01/he/files_circulars_dr_pub-118-01.pdf,
